woyoubushichanggede	我又不是唱歌的
keshichuanshangbuhaokan	可是穿上不好看
womenmalaixiyahuayihenfuzade	我们马来西亚华裔很复杂的
dengxiajiuyaochinideduan	等下就要吃你的断
womeicuowojiubuhuiyaodaoqian	我没错我就不会要道歉
quxuexiaojixiaozhangma	去学校给校长吗
yinweijumeirenxianyi	因为佢每人限一
woyizhidourangniying	我一直都让你赢
nidabufenshijiandoushishade	你大部分时间都是傻的
jietouneizhanludengfangfozaixiao	街头那盏路灯仿佛在笑
zhidaolezheigewodayingni	知道了这个我答应你
neiweishenmezaoshangneiyangduiwo	那为什么早上那样对我
zuishaoyigeyuewogennijiang	最少一个月我跟你讲
zuomenifangyaochizaifangjiande	做么你放钥匙在房间的
womingnianzuidadeliwujiushi	我明年最大的礼物就是
jieguotayihuilaijiujiwolinle	结果她一回来就给我拎了
nimenyouquwanneigexunbao	你们有去玩那个寻宝
woyezheimeshuotadi	我也这么说她滴
nibukeyiluanjibieren	你不可以乱给别人
keshiwozhendebuxiangchuqu	可是我真的不想出去
pashuileqibudaolaima	怕睡了起不到来嘛
zheiyanghedeyuemeikeshuileba	这样吓得越没瞌睡了吧
yinweinituihuadongbulele	因为你退化动不了了
woxianzaiquchongliangledengni	我现在去冲凉了等你
wozuihouzaifayigedadejiu	我最后再发一个大的就
zhongyubayibeideyanshui	终于把一杯的盐水
doushiwomamishengwode	都是我妈咪生我的
weishenmewojiuneimebushangxiangni	为什么我就那么不上相呢
nanguainiyaoshangzhongwen	难怪你要上中文
xinjiapoershouwupinmaimai	新加坡二手物品买卖
niyoumeiyouzhifubaohaishishenmede	你有没有支付宝还是什么的
songjiwodangshengdanjieliwuba	送给我当圣诞节礼物吧
neinixianzaiyoumeiyouxiangzhuishei	那你现在有没有想追谁
laimeiguoyaozhuzhangpeng	来美国要住帐篷
tuoguangshibushihuibei	脱光是不是会被
wogensiqijiangyetongxihuandeshi	我跟思琪讲业同喜欢的是
qishiwojuedenitingpiaoliangde	其实我觉得你挺漂亮的
niyaozheiyangxiangwoyemeiyoubanfa	你要这样想我也没有办法
nandaoniyaowobuchuanyifua	难道你要我不穿衣服啊
wozaitushuguanxiezuoye	我在图书馆写作业
tianxiachulaipiziyibinga	天下出来批资医兵啊
zuotianwoliangdiancaishuijue	昨天我两点才睡觉
xiexienizaiwofeijia	谢谢你载我肥家
xianzaiderenshizheiyangde	现在的人是这样的
zenyangcainengouyuni	怎样才能偶遇你
keshinibijiaoxihuan	可是你比较喜欢
keyixiugaichengmoren	可以修改成默认
nijueduishiguyide	你绝对是故意的
mingtianhoutiandagaijiunengle	明天后天大概就能了
niyezhendeshigoule	你也真的是够了
neizaocannizijichiba	那早餐你自己吃吧
zhajikuaidangrankeaila	炸鸡块当然可爱啦
nijuedewomenzaiyiqihuifenma	你觉得我们在一起会分吗
toutougaosuniwojintianmeishui	偷偷告诉你我今天没睡
suoyiniduoguantamenyao	所以你多管她们要
suanlebuxiangzhidaole	算了不想知道了
lanzhihelawohaiyou	兰芝赫拉我还有
neizheigedianhuayouzheimejima	那这个电话有这么急吗
tayouchengrentazuodeshima	他有承认他做的事吗
wodaomamineibianlela	我到妈咪那边了啦
